CharacteristicName,ResultMeasure/MeasureUnitCode,Frequency
"2,2',3,3',6-Pentachlorobiphenyl",ng,4
"2,2',3,3',6-Pentachlorobiphenyl",ng/g,10
"2,2',3,3',6-Pentachlorobiphenyl",ng/kg,246
"2,2',3,3',6-Pentachlorobiphenyl",pg/g,64
"2,2',3,3',6-Pentachlorobiphenyl",pg/l,1
"2,2',3,3'-Tetrachlorobiphenyl",ng,30
"2,2',3,3'-Tetrachlorobiphenyl",ng/g,18
"2,2',3,3'-Tetrachlorobiphenyl",ng/l,50
"2,2',3,3'-Tetrachlorobiphenyl",pg/g,58
"2,2',3,3'-Tetrachlorobiphenyl",pg/l,6
"2,2',3,3'-Tetrachlorobiphenyl",ppb,1
"2,2',3,4',5',6-Hexachlorobiphenyl",ng,20
"2,2',3,4',5',6-Hexachlorobiphenyl",ng/g,76
"2,2',3,4',5',6-Hexachlorobiphenyl",ng/l,50
"2,2',3,4',5',6-Hexachlorobiphenyl",pg/g,8
"2,2',3,4',5',6-Hexachlorobiphenyl",ppb,1
"2,2',3,4',5',6-Hexachlorobiphenyl",ug/g,6
"2,2',3,4',5'-Pentachlorobiphenyl",ng,34
"2,2',3,4',5'-Pentachlorobiphenyl",ng/g,87
"2,2',3,4',5'-Pentachlorobiphenyl",ng/l,50
"2,2',3,4',5'-Pentachlorobiphenyl",pg/g,70
"2,2',3,4',5'-Pentachlorobiphenyl",pg/l,9
"2,2',3,4',5'-Pentachlorobiphenyl",ppb,1
"2,2',3,4',5'-Pentachlorobiphenyl",ug/g,6
"2,2',3,4',5,5',6-Heptachlorobiphenyl",ng,4
"2,2',3,4',5,5',6-Heptachlorobiphenyl",ng/g,60
"2,2',3,4',5,5',6-Heptachlorobiphenyl",ng/kg,246
"2,2',3,4',5,5',6-Heptachlorobiphenyl",pg/g,6
"2,2',3,4',5,5'-Hexachlorobiphenyl",ng,34
"2,2',3,4',5,5'-Hexachlorobiphenyl",ng/g,86
"2,2',3,4',5,5'-Hexachlorobiphenyl",ng/kg,246
"2,2',3,4',5,5'-Hexachlorobiphenyl",ng/l,50
"2,2',3,4',5,5'-Hexachlorobiphenyl",pg/g,72
"2,2',3,4',5,5'-Hexachlorobiphenyl",pg/l,6
"2,2',3,4',5,5'-Hexachlorobiphenyl",ppb,1
"2,2',3,4',5,5'-Hexachlorobiphenyl",ug/g,6
"2,2',3,4',5,6'-Hexachlorobiphenyl",ng/kg,246
"2,2',3,4',5,6'-Hexachlorobiphenyl",pg/g,8
"2,2',3,4',5,6,6'-Heptachlorobiphenyl",%,136
"2,2',3,4',5,6,6'-Heptachlorobiphenyl",ng/kg,246
"2,2',3,4',5,6,6'-Heptachlorobiphenyl",pg/g,4
"2,2',3,4',5,6-Hexachlorobiphenyl",ng/g,18
"2,2',3,4',5,6-Hexachlorobiphenyl",pg/g,8
"2,2',3,4',5-Pentachlorobiphenyl",pg/g,8
"2,2',3,4',6'-Pentachlorobiphenyl",pg/g,4
"2,2',3,4',6,6'-Hexachlorobiphenyl",ng/kg,246
"2,2',3,4',6,6'-Hexachlorobiphenyl",pg/g,8
"2,2',3,4',6-Pentachlorobiphenyl",ng,34
"2,2',3,4',6-Pentachlorobiphenyl",ng/g,25
"2,2',3,4',6-Pentachlorobiphenyl",ng/l,50
"2,2',3,4',6-Pentachlorobiphenyl",pg/g,66
"2,2',3,4',6-Pentachlorobiphenyl",pg/l,5
"2,2',3,4',6-Pentachlorobiphenyl",ppb,1
"2,2',3,4'-Tetrachlorobiphenyl",ng,25
"2,2',3,4'-Tetrachlorobiphenyl",ng/g,56
"2,2',3,4'-Tetrachlorobiphenyl",ng/kg,246
"2,2',3,4'-Tetrachlorobiphenyl",pg/g,54
"2,2',3,4'-Tetrachlorobiphenyl",ppb,1
"2,2',3,4,4',5',6-Heptachlorobiphenyl",ng,34
"2,2',3,4,4',5',6-Heptachlorobiphenyl",ng/g,83
"2,2',3,4,4',5',6-Heptachlorobiphenyl",ng/l,50
"2,2',3,4,4',5',6-Heptachlorobiphenyl",pg/g,74
"2,2',3,4,4',5',6-Heptachlorobiphenyl",pg/l,9
"2,2',3,4,4',5',6-Heptachlorobiphenyl",ppb,1
"2,2',3,4,4',5',6-Heptachlorobiphenyl",ug/g,6
"2,2',3,4,4',5'-Hexachlorobiphenyl",ng,4
"2,2',3,4,4',5'-Hexachlorobiphenyl",ng/g,64
"2,2',3,4,4',5'-Hexachlorobiphenyl",pg/g,8
"2,2',3,4,4',5,5',6-Octachlorobiphenyl",ng,34
"2,2',3,4,4',5,5',6-Octachlorobiphenyl",ng/g,58
"2,2',3,4,4',5,5',6-Octachlorobiphenyl",ng/kg,246
"2,2',3,4,4',5,5',6-Octachlorobiphenyl",pg/g,66
"2,2',3,4,4',5,5'-Heptachlorobiphenyl",ng,34
"2,2',3,4,4',5,5'-Heptachlorobiphenyl",ng/g,89
"2,2',3,4,4',5,5'-Heptachlorobiphenyl",ng/l,50
"2,2',3,4,4',5,5'-Heptachlorobiphenyl",pg/g,74
"2,2',3,4,4',5,5'-Heptachlorobiphenyl",pg/l,4
"2,2',3,4,4',5,5'-Heptachlorobiphenyl",ppb,1
"2,2',3,4,4',5,5'-Heptachlorobiphenyl",ug/g,6
"2,2',3,4,4',5,6'-Heptachlorobiphenyl",ng/kg,246
"2,2',3,4,4',5,6,6'-Octachlorobiphenyl",%,14
"2,2',3,4,4',5,6,6'-Octachlorobiphenyl",None,5
"2,2',3,4,4',5,6,6'-Octachlorobiphenyl",ng/kg,246
"2,2',3,4,4',5,6-Heptachlorobiphenyl",ng/kg,246
"2,2',3,4,4',5,6-Heptachlorobiphenyl",pg/g,2
"2,2',3,4,4',5-Hexachlorobiphenyl",ng/g,54
"2,2',3,4,4',5-Hexachlorobiphenyl",ng/kg,246
"2,2',3,4,4',5-Hexachlorobiphenyl",pg/g,6
